n;t;lgt;?P1_12, ó.å.;?P1_23, ó.å.;?P1_34, ó.å.;?P1_45, ó.å.;?P1_56, ó.å.;?P1_67, ó.å.;?P1_78, ó.å.;?P1_89, ó.å.
;;;3000;4000;5000;6000;7000;8000;9000;10000
0;0.001;-3;5.65e-005;-2.54e-006;-2.65e-005;-3.36e-005;-3.4e-005;-3.15e-005;-2.82e-005;-2.48e-005
1;0.001122;-2.95001;5.64e-005;-2.59e-006;-2.65e-005;-3.37e-005;-3.39e-005;-3.15e-005;-2.82e-005;-2.48e-005
2;0.00126;-2.89963;5.63e-005;-2.62e-006;-2.65e-005;-3.37e-005;-3.38e-005;-3.15e-005;-2.83e-005;-2.48e-005
3;0.001414;-2.84955;5.63e-005;-2.62e-006;-2.65e-005;-3.37e-005;-3.38e-005;-3.15e-005;-2.83e-005;-2.48e-005
4;0.001587;-2.79942;5.64e-005;-2.58e-006;-2.65e-005;-3.37e-005;-3.39e-005;-3.15e-005;-2.82e-005;-2.48e-005
5;0.001782;-2.74909;5.65e-005;-2.52e-006;-2.65e-005;-3.36e-005;-3.4e-005;-3.15e-005;-2.81e-005;-2.48e-005
6;0.002;-2.69897;5.66e-005;-2.49e-006;-2.65e-005;-3.36e-005;-3.41e-005;-3.14e-005;-2.81e-005;-2.48e-005
7;0.002245;-2.64878;5.65e-005;-2.51e-006;-2.65e-005;-3.36e-005;-3.4e-005;-3.15e-005;-2.81e-005;-2.48e-005
8;0.00252;-2.5986;5.64e-005;-2.58e-006;-2.65e-005;-3.37e-005;-3.39e-005;-3.15e-005;-2.82e-005;-2.48e-005
9;0.002828;-2.54852;5.63e-005;-2.64e-006;-2.65e-005;-3.37e-005;-3.37e-005;-3.15e-005;-2.83e-005;-2.49e-005
10;0.003175;-2.49826;5.62e-005;-2.65e-006;-2.65e-005;-3.37e-005;-3.37e-005;-3.15e-005;-2.83e-005;-2.49e-005
11;0.003564;-2.44806;5.64e-005;-2.6e-006;-2.65e-005;-3.37e-005;-3.38e-005;-3.15e-005;-2.82e-005;-2.48e-005
12;0.004;-2.39794;5.65e-005;-2.51e-006;-2.65e-005;-3.36e-005;-3.4e-005;-3.15e-005;-2.81e-005;-2.48e-005
13;0.00449;-2.34775;5.67e-005;-2.46e-006;-2.64e-005;-3.36e-005;-3.42e-005;-3.14e-005;-2.81e-005;-2.48e-005
14;0.00504;-2.29757;5.66e-005;-2.47e-006;-2.64e-005;-3.36e-005;-3.41e-005;-3.14e-005;-2.81e-005;-2.48e-005
15;0.005657;-2.24741;5.64e-005;-2.56e-006;-2.65e-005;-3.37e-005;-3.39e-005;-3.15e-005;-2.82e-005;-2.48e-005
16;0.00635;-2.19723;5.62e-005;-2.66e-006;-2.65e-005;-3.37e-005;-3.37e-005;-3.15e-005;-2.83e-005;-2.49e-005
17;0.007127;-2.14709;5.61e-005;-2.7e-006;-2.65e-005;-3.38e-005;-3.36e-005;-3.15e-005;-2.84e-005;-2.49e-005
18;0.008;-2.09691;5.63e-005;-2.65e-006;-2.65e-005;-3.37e-005;-3.37e-005;-3.15e-005;-2.83e-005;-2.49e-005
19;0.00898;-2.04672;5.65e-005;-2.52e-006;-2.65e-005;-3.36e-005;-3.4e-005;-3.15e-005;-2.81e-005;-2.48e-005
20;0.01008;-1.99654;5.67e-005;-2.42e-006;-2.64e-005;-3.35e-005;-3.42e-005;-3.14e-005;-2.8e-005;-2.48e-005
21;0.01131;-1.94654;5.68e-005;-2.41e-006;-2.64e-005;-3.35e-005;-3.43e-005;-3.14e-005;-2.8e-005;-2.48e-005
22;0.0127;-1.8962;5.65e-005;-2.52e-006;-2.65e-005;-3.36e-005;-3.4e-005;-3.15e-005;-2.81e-005;-2.48e-005
23;0.01425;-1.84619;5.62e-005;-2.67e-006;-2.65e-005;-3.38e-005;-3.37e-005;-3.15e-005;-2.83e-005;-2.49e-005
